(1.0, 60.0, 180.0);ga;34;S
(1.0, 60.0, 180.0);n;35;S
(1.0, 67.5, 180.0);ga;34;S
(1.0, 67.5, 180.0);n;35;S
(1.0, 75.0, 180.0);ga;34;S
(1.0, 75.0, 180.0);n;35;S
(1.0, 82.5, 180.0);ga;34;S
(1.0, 82.5, 180.0);n;35;S
(1.0, 90.0, 180.0);ga;34;S
(1.0, 90.0, 180.0);n;35;S
(1.0, 97.5, 180.0);ga;34;S
(1.0, 97.5, 180.0);n;35;S
(1.0, 105.0, 180.0);ga;34;S
(1.0, 105.0, 180.0);n;35;S
(1.0, 75.0, 15.0);n;35;S
(1.0, 112.5, 180.0);ga;34;S
(1.0, 112.5, 180.0);n;35;S
(1.0, 120.0, 180.0);ga;34;S
(1.0, 120.0, 180.0);n;35;S
(1.0, 127.5, 180.0);ga;34;S
(1.0, 127.5, 180.0);n;35;S
(1.0, 135.0, 180.0);ga;34;S
(1.0, 135.0, 180.0);n;35;S
(1.0, 142.5, 180.0);ga;34;S
(1.0, 142.5, 180.0);n;35;S
(1.0, 150.0, 180.0);ga;34;S
(1.0, 150.0, 180.0);n;35;S
(1.0, 105.0, 15.0);n;35;S
(1.0, 112.5, 15.0);n;35;S
(1.0, 127.5, 15.0);n;35;S
(1.0, 52.5, 0.0);ga;34;S
(1.0, 52.5, 0.0);n;35;S
(1.0, 142.5, 15.0);n;35;S
(1.0, 60.0, 0.0);ga;34;S
(1.0, 60.0, 0.0);n;35;S
(1.0, 67.5, 0.0);ga;34;S
(1.0, 67.5, 0.0);n;35;S
(1.0, 90.0, 30.0);n;35;S
(1.0, 75.0, 0.0);ga;34;S
(1.0, 75.0, 0.0);n;35;S
(1.0, 45.0, 37.5);n;35;S
(1.0, 82.5, 0.0);ga;34;S
(1.0, 82.5, 0.0);n;35;S
(1.0, 90.0, 0.0);ga;34;S
(1.0, 90.0, 0.0);n;35;S
