Lattice Direction Pseudo, Atom Type, Atom Number, KE, Final Energy, Delta Energy
176S, ga, 34, 10, -23416.763753, 0.000000
176S, ga, 34, 18, -23416.763753, 0.000000
176S, ga, 34, 26, -23416.763753, 0.000000
176S, ga, 34, 34, -23404.111223, 12.652530
176S, ga, 34, 30, -23416.763753, 0.000000
176S, ga, 34, 32, -23416.763753, 0.000000
176S, ga, 34, 33, -23403.417161, 13.346592
