########################################
# format of text file
# nL    atom_type    atom_number    ke_i    ke_cut    u    v    w
# n+1S    atom_type    atom_number    ke_i    ke_cut    r    p    t
########################################
91S, ga, 34, 10, 100, 1.0, 67.5, 37.5
92S, ga, 34, 10, 100, 1.0, 75.0, 37.5
93S, ga, 34, 10, 100, 1.0, 82.5, 37.5
94S, ga, 34, 10, 100, 1.0, 90.0, 37.5
95S, ga, 34, 10, 100, 1.0, 97.5, 37.5
96S, ga, 34, 10, 100, 1.0, 105.0, 37.5
97S, ga, 34, 10, 100, 1.0, 112.5, 37.5
98S, ga, 34, 10, 100, 1.0, 120.0, 37.5
99S, ga, 34, 10, 100, 1.0, 127.5, 37.5
100S, ga, 34, 10, 100, 1.0, 135.0, 37.5
101S, ga, 34, 10, 100, 1.0, 142.5, 37.5
102S, ga, 34, 10, 100, 1.0, 150.0, 37.5
103S, ga, 34, 10, 100, 1.0, 30.0, 45.0
104S, ga, 34, 10, 100, 1.0, 37.5, 45.0
105S, ga, 34, 10, 100, 1.0, 45.0, 45.0
106S, ga, 34, 10, 100, 1.0, 52.5, 45.0
107S, ga, 34, 10, 100, 1.0, 60.0, 45.0
108S, ga, 34, 10, 100, 1.0, 67.5, 45.0
109S, ga, 34, 10, 100, 1.0, 75.0, 45.0
110S, ga, 34, 10, 100, 1.0, 82.5, 45.0
111S, ga, 34, 10, 100, 1.0, 90.0, 45.0
112S, ga, 34, 10, 100, 1.0, 97.5, 45.0
113S, ga, 34, 10, 100, 1.0, 105.0, 45.0
114S, ga, 34, 10, 100, 1.0, 112.5, 45.0
115S, ga, 34, 10, 100, 1.0, 120.0, 45.0
116S, ga, 34, 10, 100, 1.0, 127.5, 45.0
117S, ga, 34, 10, 100, 1.0, 135.0, 45.0
118S, ga, 34, 10, 100, 1.0, 142.5, 45.0
119S, ga, 34, 10, 100, 1.0, 150.0, 45.0
120S, ga, 34, 10, 100, 1.0, 30.0, 52.5
121S, ga, 34, 10, 100, 1.0, 37.5, 52.5
122S, ga, 34, 10, 100, 1.0, 45.0, 52.5
123S, ga, 34, 10, 100, 1.0, 52.5, 52.5
124S, ga, 34, 10, 100, 1.0, 60.0, 52.5
125S, ga, 34, 10, 100, 1.0, 67.5, 52.5
126S, ga, 34, 10, 100, 1.0, 75.0, 52.5
127S, ga, 34, 10, 100, 1.0, 82.5, 52.5
128S, ga, 34, 10, 100, 1.0, 90.0, 52.5
129S, ga, 34, 10, 100, 1.0, 97.5, 52.5
130S, ga, 34, 10, 100, 1.0, 105.0, 52.5
131S, ga, 34, 10, 100, 1.0, 112.5, 52.5
132S, ga, 34, 10, 100, 1.0, 120.0, 52.5
133S, ga, 34, 10, 100, 1.0, 127.5, 52.5
134S, ga, 34, 10, 100, 1.0, 135.0, 52.5
135S, ga, 34, 10, 100, 1.0, 142.5, 52.5
136S, ga, 34, 10, 100, 1.0, 150.0, 52.5
137S, ga, 34, 10, 100, 1.0, 30.0, 60.0
138S, ga, 34, 10, 100, 1.0, 37.5, 60.0
139S, ga, 34, 10, 100, 1.0, 45.0, 60.0
140S, ga, 34, 10, 100, 1.0, 52.5, 60.0
141S, ga, 34, 10, 100, 1.0, 60.0, 60.0
142S, ga, 34, 10, 100, 1.0, 67.5, 60.0
143S, ga, 34, 10, 100, 1.0, 75.0, 60.0
144S, ga, 34, 10, 100, 1.0, 82.5, 60.0
145S, ga, 34, 10, 100, 1.0, 90.0, 60.0
146S, ga, 34, 10, 100, 1.0, 97.5, 60.0
147S, ga, 34, 10, 100, 1.0, 105.0, 60.0
148S, ga, 34, 10, 100, 1.0, 112.5, 60.0
149S, ga, 34, 10, 100, 1.0, 120.0, 60.0
150S, ga, 34, 10, 100, 1.0, 127.5, 60.0
151S, ga, 34, 10, 100, 1.0, 135.0, 60.0
152S, ga, 34, 10, 100, 1.0, 142.5, 60.0
153S, ga, 34, 10, 100, 1.0, 150.0, 60.0
1S, n, 35, 10, 100, 1.0, 30.0, 0.0
2S, n, 35, 10, 100, 1.0, 37.5, 0.0
3S, n, 35, 10, 100, 1.0, 45.0, 0.0
4S, n, 35, 10, 100, 1.0, 52.5, 0.0
5S, n, 35, 10, 100, 1.0, 60.0, 0.0
6S, n, 35, 10, 100, 1.0, 67.5, 0.0
7S, n, 35, 10, 100, 1.0, 75.0, 0.0
8S, n, 35, 10, 100, 1.0, 82.5, 0.0
9S, n, 35, 10, 100, 1.0, 90.0, 0.0
10S, n, 35, 10, 100, 1.0, 97.5, 0.0
11S, n, 35, 10, 100, 1.0, 105.0, 0.0
12S, n, 35, 10, 100, 1.0, 112.5, 0.0
13S, n, 35, 10, 100, 1.0, 120.0, 0.0
14S, n, 35, 10, 100, 1.0, 127.5, 0.0
15S, n, 35, 10, 100, 1.0, 135.0, 0.0
16S, n, 35, 10, 100, 1.0, 142.5, 0.0
17S, n, 35, 10, 100, 1.0, 150.0, 0.0
18S, n, 35, 10, 100, 1.0, 30.0, 7.5
19S, n, 35, 10, 100, 1.0, 37.5, 7.5
20S, n, 35, 10, 100, 1.0, 45.0, 7.5
21S, n, 35, 10, 100, 1.0, 52.5, 7.5
22S, n, 35, 10, 100, 1.0, 60.0, 7.5
23S, n, 35, 10, 100, 1.0, 67.5, 7.5
24S, n, 35, 10, 100, 1.0, 75.0, 7.5
25S, n, 35, 10, 100, 1.0, 82.5, 7.5
26S, n, 35, 10, 100, 1.0, 90.0, 7.5
27S, n, 35, 10, 100, 1.0, 97.5, 7.5
28S, n, 35, 10, 100, 1.0, 105.0, 7.5
29S, n, 35, 10, 100, 1.0, 112.5, 7.5
30S, n, 35, 10, 100, 1.0, 120.0, 7.5
31S, n, 35, 10, 100, 1.0, 127.5, 7.5
32S, n, 35, 10, 100, 1.0, 135.0, 7.5
33S, n, 35, 10, 100, 1.0, 142.5, 7.5
34S, n, 35, 10, 100, 1.0, 150.0, 7.5
35S, n, 35, 10, 100, 1.0, 30.0, 15.0
36S, n, 35, 10, 100, 1.0, 37.5, 15.0
37S, n, 35, 10, 100, 1.0, 45.0, 15.0
38S, n, 35, 10, 100, 1.0, 52.5, 15.0
39S, n, 35, 10, 100, 1.0, 60.0, 15.0
40S, n, 35, 10, 100, 1.0, 67.5, 15.0
41S, n, 35, 10, 100, 1.0, 75.0, 15.0
42S, n, 35, 10, 100, 1.0, 82.5, 15.0
43S, n, 35, 10, 100, 1.0, 90.0, 15.0
44S, n, 35, 10, 100, 1.0, 97.5, 15.0
45S, n, 35, 10, 100, 1.0, 105.0, 15.0
46S, n, 35, 10, 100, 1.0, 112.5, 15.0
47S, n, 35, 10, 100, 1.0, 120.0, 15.0
48S, n, 35, 10, 100, 1.0, 127.5, 15.0
49S, n, 35, 10, 100, 1.0, 135.0, 15.0
50S, n, 35, 10, 100, 1.0, 142.5, 15.0
51S, n, 35, 10, 100, 1.0, 150.0, 15.0
52S, n, 35, 10, 100, 1.0, 30.0, 22.5
53S, n, 35, 10, 100, 1.0, 37.5, 22.5
54S, n, 35, 10, 100, 1.0, 45.0, 22.5
55S, n, 35, 10, 100, 1.0, 52.5, 22.5
56S, n, 35, 10, 100, 1.0, 60.0, 22.5
57S, n, 35, 10, 100, 1.0, 67.5, 22.5
58S, n, 35, 10, 100, 1.0, 75.0, 22.5
59S, n, 35, 10, 100, 1.0, 82.5, 22.5
60S, n, 35, 10, 100, 1.0, 90.0, 22.5
61S, n, 35, 10, 100, 1.0, 97.5, 22.5
62S, n, 35, 10, 100, 1.0, 105.0, 22.5
63S, n, 35, 10, 100, 1.0, 112.5, 22.5
64S, n, 35, 10, 100, 1.0, 120.0, 22.5
65S, n, 35, 10, 100, 1.0, 127.5, 22.5
66S, n, 35, 10, 100, 1.0, 135.0, 22.5
67S, n, 35, 10, 100, 1.0, 142.5, 22.5
68S, n, 35, 10, 100, 1.0, 150.0, 22.5
69S, n, 35, 10, 100, 1.0, 30.0, 30.0
70S, n, 35, 10, 100, 1.0, 37.5, 30.0
71S, n, 35, 10, 100, 1.0, 45.0, 30.0
72S, n, 35, 10, 100, 1.0, 52.5, 30.0
73S, n, 35, 10, 100, 1.0, 60.0, 30.0
74S, n, 35, 10, 100, 1.0, 67.5, 30.0
75S, n, 35, 10, 100, 1.0, 75.0, 30.0
76S, n, 35, 10, 100, 1.0, 82.5, 30.0
77S, n, 35, 10, 100, 1.0, 90.0, 30.0
78S, n, 35, 10, 100, 1.0, 97.5, 30.0
79S, n, 35, 10, 100, 1.0, 105.0, 30.0
