########################################
Spherical directions for multi_tde.py calculations
r, p, t
########################################
########################################
1.0, 30.0, 67.5
1.0, 37.5, 67.5
1.0, 45.0, 67.5
1.0, 52.5, 67.5
1.0, 60.0, 67.5
1.0, 67.5, 67.5
1.0, 75.0, 67.5
1.0, 82.5, 67.5
1.0, 90.0, 67.5
1.0, 97.5, 67.5
1.0, 105.0, 67.5
1.0, 112.5, 67.5
1.0, 120.0, 67.5
1.0, 127.5, 67.5
1.0, 135.0, 67.5
1.0, 142.5, 67.5
1.0, 150.0, 67.5
1.0, 30.0, 75.0
1.0, 37.5, 75.0
1.0, 45.0, 75.0
1.0, 52.5, 75.0
1.0, 60.0, 75.0
1.0, 67.5, 75.0
1.0, 75.0, 75.0
1.0, 82.5, 75.0
1.0, 90.0, 75.0
1.0, 97.5, 75.0
1.0, 105.0, 75.0
1.0, 112.5, 75.0
1.0, 120.0, 75.0
1.0, 127.5, 75.0
1.0, 135.0, 75.0
1.0, 142.5, 75.0
1.0, 150.0, 75.0
1.0, 30.0, 82.5
1.0, 37.5, 82.5
1.0, 45.0, 82.5
1.0, 52.5, 82.5
1.0, 60.0, 82.5
1.0, 67.5, 82.5
1.0, 75.0, 82.5
1.0, 82.5, 82.5
1.0, 90.0, 82.5
1.0, 97.5, 82.5
1.0, 105.0, 82.5
1.0, 112.5, 82.5
1.0, 120.0, 82.5
1.0, 127.5, 82.5
1.0, 135.0, 82.5
1.0, 142.5, 82.5
1.0, 150.0, 82.5
1.0, 30.0, 90.0
1.0, 37.5, 90.0
1.0, 45.0, 90.0
1.0, 52.5, 90.0
1.0, 60.0, 90.0
1.0, 67.5, 90.0
1.0, 75.0, 90.0
1.0, 82.5, 90.0
1.0, 90.0, 90.0
1.0, 97.5, 90.0
1.0, 105.0, 90.0
1.0, 112.5, 90.0
1.0, 120.0, 90.0
1.0, 127.5, 90.0
1.0, 135.0, 90.0
1.0, 142.5, 90.0
1.0, 150.0, 90.0
1.0, 30.0, 97.5
1.0, 37.5, 97.5
1.0, 45.0, 97.5
1.0, 52.5, 97.5
1.0, 60.0, 97.5
1.0, 67.5, 97.5
1.0, 75.0, 97.5
1.0, 82.5, 97.5
1.0, 90.0, 97.5
1.0, 97.5, 97.5
1.0, 105.0, 97.5
1.0, 112.5, 97.5
1.0, 120.0, 97.5
1.0, 127.5, 97.5
1.0, 135.0, 97.5
1.0, 142.5, 97.5
1.0, 150.0, 97.5
1.0, 30.0, 105.0
1.0, 37.5, 105.0
1.0, 45.0, 105.0
1.0, 52.5, 105.0
1.0, 60.0, 105.0
1.0, 67.5, 105.0
1.0, 75.0, 105.0
1.0, 82.5, 105.0
1.0, 90.0, 105.0
1.0, 97.5, 105.0
1.0, 105.0, 105.0
1.0, 112.5, 105.0
1.0, 120.0, 105.0
1.0, 127.5, 105.0
1.0, 135.0, 105.0
1.0, 142.5, 105.0
1.0, 150.0, 105.0
1.0, 30.0, 112.5
1.0, 37.5, 112.5
1.0, 45.0, 112.5
1.0, 52.5, 112.5
1.0, 60.0, 112.5
1.0, 67.5, 112.5
1.0, 75.0, 112.5
1.0, 82.5, 112.5
1.0, 90.0, 112.5
1.0, 97.5, 112.5
1.0, 105.0, 112.5
1.0, 112.5, 112.5
1.0, 120.0, 112.5
1.0, 127.5, 112.5
1.0, 135.0, 112.5
1.0, 142.5, 112.5
1.0, 150.0, 112.5
1.0, 30.0, 120.0
1.0, 37.5, 120.0
1.0, 45.0, 120.0
1.0, 52.5, 120.0
1.0, 60.0, 120.0
1.0, 67.5, 120.0
1.0, 75.0, 120.0
1.0, 82.5, 120.0
1.0, 90.0, 120.0
1.0, 97.5, 120.0
1.0, 105.0, 120.0
1.0, 112.5, 120.0
1.0, 120.0, 120.0
1.0, 127.5, 120.0
1.0, 135.0, 120.0
1.0, 142.5, 120.0
1.0, 150.0, 120.0
1.0, 30.0, 127.5
1.0, 37.5, 127.5
1.0, 45.0, 127.5
1.0, 52.5, 127.5
1.0, 60.0, 127.5
1.0, 67.5, 127.5
1.0, 75.0, 127.5
1.0, 82.5, 127.5
1.0, 90.0, 127.5
1.0, 97.5, 127.5
1.0, 105.0, 127.5
1.0, 112.5, 127.5
1.0, 120.0, 127.5
1.0, 127.5, 127.5
1.0, 135.0, 127.5
1.0, 142.5, 127.5
1.0, 150.0, 127.5
