########################################
Spherical directions for multi_tde.py calculations
r, p, t
########################################
########################################
1.0, 30.0, 135.0
1.0, 37.5, 135.0
1.0, 45.0, 135.0
1.0, 52.5, 135.0
1.0, 60.0, 135.0
1.0, 67.5, 135.0
1.0, 75.0, 135.0
1.0, 82.5, 135.0
1.0, 90.0, 135.0
1.0, 97.5, 135.0
1.0, 105.0, 135.0
1.0, 112.5, 135.0
1.0, 120.0, 135.0
1.0, 127.5, 135.0
1.0, 135.0, 135.0
1.0, 142.5, 135.0
1.0, 150.0, 135.0
1.0, 30.0, 142.5
1.0, 37.5, 142.5
1.0, 45.0, 142.5
1.0, 52.5, 142.5
1.0, 60.0, 142.5
1.0, 67.5, 142.5
1.0, 75.0, 142.5
1.0, 82.5, 142.5
1.0, 90.0, 142.5
1.0, 97.5, 142.5
1.0, 105.0, 142.5
1.0, 112.5, 142.5
1.0, 120.0, 142.5
1.0, 127.5, 142.5
1.0, 135.0, 142.5
1.0, 142.5, 142.5
1.0, 150.0, 142.5
1.0, 30.0, 150.0
1.0, 37.5, 150.0
1.0, 45.0, 150.0
1.0, 52.5, 150.0
1.0, 60.0, 150.0
1.0, 67.5, 150.0
1.0, 75.0, 150.0
1.0, 82.5, 150.0
1.0, 90.0, 150.0
1.0, 97.5, 150.0
1.0, 105.0, 150.0
1.0, 112.5, 150.0
1.0, 120.0, 150.0
1.0, 127.5, 150.0
1.0, 135.0, 150.0
1.0, 142.5, 150.0
1.0, 150.0, 150.0
1.0, 30.0, 157.5
1.0, 37.5, 157.5
1.0, 45.0, 157.5
1.0, 52.5, 157.5
1.0, 60.0, 157.5
1.0, 67.5, 157.5
1.0, 75.0, 157.5
1.0, 82.5, 157.5
1.0, 90.0, 157.5
1.0, 97.5, 157.5
1.0, 105.0, 157.5
1.0, 112.5, 157.5
1.0, 120.0, 157.5
1.0, 127.5, 157.5
1.0, 135.0, 157.5
1.0, 142.5, 157.5
1.0, 150.0, 157.5
1.0, 30.0, 165.0
1.0, 37.5, 165.0
1.0, 45.0, 165.0
1.0, 52.5, 165.0
1.0, 60.0, 165.0
1.0, 67.5, 165.0
1.0, 75.0, 165.0
1.0, 82.5, 165.0
1.0, 90.0, 165.0
1.0, 97.5, 165.0
1.0, 105.0, 165.0
1.0, 112.5, 165.0
1.0, 120.0, 165.0
1.0, 127.5, 165.0
1.0, 135.0, 165.0
1.0, 142.5, 165.0
1.0, 150.0, 165.0
1.0, 30.0, 172.5
1.0, 37.5, 172.5
1.0, 45.0, 172.5
1.0, 52.5, 172.5
1.0, 60.0, 172.5
1.0, 67.5, 172.5
1.0, 75.0, 172.5
1.0, 82.5, 172.5
1.0, 90.0, 172.5
1.0, 97.5, 172.5
1.0, 105.0, 172.5
1.0, 112.5, 172.5
1.0, 120.0, 172.5
1.0, 127.5, 172.5
1.0, 135.0, 172.5
1.0, 142.5, 172.5
1.0, 150.0, 172.5
1.0, 30.0, 180.0
1.0, 37.5, 180.0
1.0, 45.0, 180.0
1.0, 52.5, 180.0
1.0, 60.0, 180.0
1.0, 67.5, 180.0
1.0, 75.0, 180.0
1.0, 82.5, 180.0
1.0, 90.0, 180.0
1.0, 97.5, 180.0
1.0, 105.0, 180.0
1.0, 112.5, 180.0
1.0, 120.0, 180.0
1.0, 127.5, 180.0
1.0, 135.0, 180.0
1.0, 142.5, 180.0
1.0, 150.0, 180.0
