Lattice Direction Pseudo, Atom Type, Atom Number, KE, Final Energy, Delta Energy
72S, ga, 34, 25, -1823.365599, 0.002206
72S, ga, 34, 33, -1823.366569, 0.001236
72S, ga, 34, 41, -1823.366894, 0.000911
72S, ga, 34, 49, -1823.365454, 0.002351
72S, n, 35, 25, -1823.366831, 0.000974
72S, n, 35, 33, -1823.367502, 0.000303
72S, n, 35, 41, -1823.365605, 0.002200
72S, n, 35, 49, -1823.365208, 0.002597
73L, ga, 34, 25, -1823.366851, 0.000955
73L, ga, 34, 33, -1823.366816, 0.000989
73L, ga, 34, 41, -1823.367255, 0.000550
73L, ga, 34, 49, -1817.678532, 5.689273
73L, ga, 34, 45, -1815.677355, 7.690450
73L, ga, 34, 43, -1823.366714, 0.001091
73L, ga, 34, 44, -1817.678297, 5.689508
73L, n, 35, 25, -1815.809194, 7.558611
73L, n, 35, 17, -1823.365561, 0.002244
73L, n, 35, 21, -1815.809366, 7.558439
73L, n, 35, 19, -1815.799509, 7.568296
73L, n, 35, 18, -1823.365642, 0.002163
74L, ga, 34, 25, -1823.366828, 0.000977
74L, ga, 34, 33, -1823.366812, 0.000993
74L, ga, 34, 41, -1823.368233, -0.000428
74L, ga, 34, 49, -1816.501264, 6.866541
74L, ga, 34, 45, -1809.085709, 14.282096
74L, ga, 34, 43, -1823.366714, 0.001091
74L, ga, 34, 44, -1823.366575, 0.001230
74L, n, 35, 25, -1815.809138, 7.558667
74L, n, 35, 17, -1823.365529, 0.002276
74L, n, 35, 21, -1815.808892, 7.558913
74L, n, 35, 19, -1815.793271, 7.574534
74L, n, 35, 18, -1823.365691, 0.002114
75L, ga, 34, 25, -1823.366929, 0.000876
75L, ga, 34, 33, -1823.365076, 0.002729
75L, ga, 34, 41, -1823.365608, 0.002197
75L, ga, 34, 49, -1811.600962, 11.766843
75L, ga, 34, 45, -1823.365561, 0.002244
75L, n, 35, 25, -1815.769213, 7.598592
75L, n, 35, 17, -1815.788882, 7.578923
75L, n, 35, 9, -1823.365172, 0.002633
75L, n, 35, 13, -1823.365382, 0.002423
75L, n, 35, 15, -1823.365034, 0.002771
75L, n, 35, 16, -1815.794280, 7.573525
76S, ga, 34, 25, -1815.809810, 7.557995
76S, ga, 34, 17, -1823.367522, 0.000283
76S, ga, 34, 21, -1823.367108, 0.000697
76S, ga, 34, 23, -1823.366081, 0.001724
76S, ga, 34, 24, -1815.760305, 7.607500
77S, ga, 34, 25, -1811.327401, 12.040404
77S, ga, 34, 17, -1823.366681, 0.001124
77S, ga, 34, 21, -1823.365353, 0.002452
77S, ga, 34, 23, -1823.366485, 0.001320
77S, ga, 34, 24, -1823.365748, 0.002057
78S, n, 35, 25, -1815.807630, 7.560175
78S, n, 35, 17, -1815.808260, 7.559545
78S, n, 35, 9, -1823.366050, 0.001755
78S, n, 35, 13, -1823.364869, 0.002936
78S, n, 35, 15, -1815.748394, 7.619411
78S, n, 35, 14, -1823.365294, 0.002511
79S, ga, 34, 25, -1823.365980, 0.001825
79S, ga, 34, 33, -1811.384903, 11.982902
79S, ga, 34, 29, -1823.365081, 0.002724
79S, ga, 34, 31, -1823.366166, 0.001639
79S, ga, 34, 32, -1823.366335, 0.001470
79S, n, 35, 25, -1815.812573, 7.555232
79S, n, 35, 17, -1815.815073, 7.552732
79S, n, 35, 9, -1823.365168, 0.002637
79S, n, 35, 13, -1823.365043, 0.002762
79S, n, 35, 15, -1815.814214, 7.553591
79S, n, 35, 14, -1815.815296, 7.552509
7L, ga, 34, 25, -1823.365600, 0.002205
7L, ga, 34, 33, -1823.366801, 0.001004
7L, ga, 34, 41, -1823.366926, 0.000879
7L, ga, 34, 49, -1823.365724, 0.002081
7L, n, 35, 25, -1823.366833, 0.000972
7L, n, 35, 33, -1823.367507, 0.000298
7L, n, 35, 41, -1823.366992, 0.000813
7L, n, 35, 49, -1823.367116, 0.000689
80S, ga, 34, 25, -1823.365586, 0.002219
80S, ga, 34, 33, -1811.291032, 12.076773
80S, ga, 34, 29, -1811.327704, 12.040101
80S, ga, 34, 27, -1811.867981, 11.499824
80S, ga, 34, 26, -1811.867791, 11.500014
80S, n, 35, 25, -1815.788619, 7.579186
80S, n, 35, 17, -1815.814690, 7.553115
80S, n, 35, 9, -1823.365290, 0.002515
80S, n, 35, 13, -1823.365100, 0.002705
80S, n, 35, 15, -1815.815316, 7.552489
80S, n, 35, 14, -1823.364429, 0.003376
81S, ga, 34, 25, -1823.365165, 0.002640
81S, ga, 34, 33, -1811.291086, 12.076719
81S, ga, 34, 29, -1811.868263, 11.499542
81S, ga, 34, 27, -1811.868399, 11.499406
81S, ga, 34, 26, -1811.866625, 11.501180
81S, n, 35, 25, -1823.365094, 0.002711
81S, n, 35, 33, -1815.806919, 7.560886
81S, n, 35, 29, -1823.366180, 0.001625
81S, n, 35, 31, -1823.365937, 0.001868
81S, n, 35, 32, -1815.848410, 7.519395
82S, ga, 34, 25, -1823.366342, 0.001463
82S, ga, 34, 33, -1811.581850, 11.785955
82S, ga, 34, 29, -1823.365798, 0.002007
82S, ga, 34, 31, -1823.365512, 0.002293
82S, ga, 34, 32, -1823.365674, 0.002131
82S, n, 35, 25, -1815.814417, 7.553388
82S, n, 35, 17, -1823.366371, 0.001434
82S, n, 35, 21, -1815.787453, 7.580352
82S, n, 35, 19, -1815.816154, 7.551651
82S, n, 35, 18, -1823.365530, 0.002275
8L, ga, 34, 25, -1823.366997, 0.000808
8L, ga, 34, 33, -1823.366091, 0.001714
8L, ga, 34, 41, -1823.364539, 0.003266
8L, ga, 34, 49, -1823.366027, 0.001778
8L, n, 35, 25, -1823.367144, 0.000661
8L, n, 35, 33, -1823.366418, 0.001387
8L, n, 35, 41, -1823.365765, 0.002040
8L, n, 35, 49, -1823.366071, 0.001734
9L, ga, 34, 25, -1823.366687, 0.001118
9L, ga, 34, 33, -1823.366277, 0.001528
9L, ga, 34, 41, -1823.365753, 0.002052
9L, ga, 34, 49, -1823.366658, 0.001147
