Lattice Direction Pseudo, Atom Type, Atom Number, KE, Final Energy, Delta Energy
31L, ga, 34, 29, -1811.291231, 12.076574
31L, ga, 34, 27, -1811.290864, 12.076941
31L, ga, 34, 26, -1811.291498, 12.076307
32S, ga, 34, 25, -1823.367166, 0.000639
32S, ga, 34, 33, -1823.366528, 0.001277
32S, ga, 34, 41, -1823.365299, 0.002506
32S, ga, 34, 49, -1823.365435, 0.002370
32S, n, 35, 25, -1823.367134, 0.000671
32S, n, 35, 33, -1823.366420, 0.001385
32S, n, 35, 41, -1823.366267, 0.001538
32S, n, 35, 49, -1823.366513, 0.001292
33S, ga, 34, 25, -1823.366252, 0.001553
33S, ga, 34, 33, -1823.367451, 0.000354
33S, ga, 34, 41, -1823.366240, 0.001565
33S, ga, 34, 49, -1823.365988, 0.001817
33S, n, 35, 25, -1815.770538, 7.597267
33S, n, 35, 17, -1823.365844, 0.001961
33S, n, 35, 21, -1815.788737, 7.579068
33S, n, 35, 19, -1815.815704, 7.552101
33S, n, 35, 18, -1823.365714, 0.002091
34S, ga, 34, 25, -1823.365344, 0.002461
34S, ga, 34, 33, -1815.374617, 7.993188
34S, ga, 34, 29, -1823.366712, 0.001093
34S, ga, 34, 31, -1823.365924, 0.001881
34S, ga, 34, 32, -1815.373994, 7.993811
34S, n, 35, 25, -1815.756922, 7.610883
34S, n, 35, 17, -1815.814390, 7.553415
34S, n, 35, 9, -1823.366386, 0.001419
34S, n, 35, 13, -1823.366008, 0.001797
34S, n, 35, 15, -1823.366782, 0.001023
34S, n, 35, 16, -1823.366101, 0.001704
35S, ga, 34, 25, -1823.366240, 0.001565
35S, ga, 34, 33, -1823.367560, 0.000245
35S, ga, 34, 41, -1823.366244, 0.001561
35S, ga, 34, 49, -1823.365956, 0.001849
35S, n, 35, 25, -1815.769205, 7.598600
35S, n, 35, 17, -1823.364126, 0.003679
35S, n, 35, 21, -1815.814671, 7.553134
35S, n, 35, 19, -1815.789678, 7.578127
35S, n, 35, 18, -1823.366558, 0.001247
36S, ga, 34, 25, -1823.366646, 0.001159
36S, ga, 34, 33, -1823.366268, 0.001537
36S, ga, 34, 41, -1823.366611, 0.001194
36S, ga, 34, 49, -1823.367077, 0.000728
36S, n, 35, 25, -1823.365662, 0.002143
36S, n, 35, 33, -1815.798435, 7.569370
36S, n, 35, 29, -1815.796215, 7.571590
36S, n, 35, 27, -1815.794223, 7.573582
36S, n, 35, 26, -1823.366648, 0.001157
37S, ga, 34, 25, -1823.365285, 0.002520
37S, ga, 34, 33, -1823.366402, 0.001403
37S, ga, 34, 41, -1823.366421, 0.001384
37S, ga, 34, 49, -1811.333053, 12.034752
37S, ga, 34, 45, -1823.366022, 0.001783
37S, n, 35, 25, -1815.667008, 7.700797
37S, n, 35, 17, -1823.365687, 0.002118
37S, n, 35, 21, -1823.364921, 0.002884
37S, n, 35, 23, -1815.815402, 7.552403
37S, n, 35, 22, -1815.787510, 7.580295
38S, ga, 34, 25, -1823.366886, 0.000919
38S, ga, 34, 33, -1811.291270, 12.076535
38S, ga, 34, 29, -1823.365877, 0.001928
38S, ga, 34, 31, -1823.365106, 0.002699
38S, ga, 34, 32, -1811.290630, 12.077175
38S, n, 35, 25, -1823.364632, 0.003173
38S, n, 35, 33, -1823.364967, 0.002838
38S, n, 35, 41, -1815.814858, 7.552947
38S, n, 35, 37, -1815.798491, 7.569314
38S, n, 35, 35, -1815.814636, 7.553169
38S, n, 35, 34, -1823.366012, 0.001793
39S, ga, 34, 25, -1823.365329, 0.002476
39S, ga, 34, 33, -1823.366428, 0.001377
39S, ga, 34, 41, -1823.366434, 0.001371
39S, ga, 34, 49, -1811.333023, 12.034782
39S, ga, 34, 45, -1823.365781, 0.002024
39S, n, 35, 25, -1815.787355, 7.580450
39S, n, 35, 17, -1823.365848, 0.001957
3L, ga, 34, 25, -1823.367119, 0.000686
3L, ga, 34, 33, -1823.366783, 0.001022
3L, ga, 34, 41, -1823.366362, 0.001443
3L, ga, 34, 49, -1817.679087, 5.688718
3L, ga, 34, 45, -1823.366035, 0.001770
40S, ga, 34, 25, -1823.366659, 0.001146
40S, ga, 34, 33, -1823.366191, 0.001614
