Lattice Direction Pseudo, Atom Type, Atom Number, KE, Final Energy (eV), Delta Energy (eV)
1L, ga, 34, 25, -1823.36689246, .00091254
1L, ga, 34, 33, -1823.36685564, .00094936
1L, ga, 34, 41, -1811.86951470, 11.49829030
1L, ga, 34, 37, -1811.82968554, 11.53811946
1L, ga, 34, 35, -1811.86830739, 11.49949761
1L, ga, 34, 34, -1811.86781069, 11.49999431
